Permit #,Permit Type Description,Permit Subtype Description,Date Entered,Construction Cost,Address,City,State,Subdivision Lot,Contact,Permit Type,Permit SubType,Purpose,Council District,Lon,Lat,ObjectId,Zip Code,x,y
D2021076710,Building Residential - New,Single Family Residence,11/30/2021 6:00,358918,6149 BINNS LN,HERMITAGE,TN,LOT 75 PARKHAVEN COMMUNITIES PH 1,CRAIGHEAD DEVELOPMENT,CARN,CAA01R301,"*****PLANNING NOT TO REVIEW INDIVID. PERMITS********CONSTRUCT 2713SF SINGLE FAMILY RESIDENCE WITH 714SF GARAGE, 231SF UNFINISHED SPACE AND 297SF PORCH . PRIOR TO U&O, DEVELOPER TO PROVIDE THIRD PARTY ENGINEER CERTIFICATION OF COMPLIANCE WITH ALL APPLICABLE CONDITIONS OF SPECIFIC PLAN 2016SP-046-001/BL2016-408 AND APPROVED FINAL SITE PLAN 2016SP-046-002. NOT TO BE OVER ANY EASEMENTS. PURSUANT # 2006-1263 METRO CODE OF LAWS, I (HOLDER OF PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METRO CODE.; FOR EVERY 30 FEET OF STREET FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY. FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS...............NEW INSTALL",14,-86.63985517,36.19504837,11,37076,-9644704.56,4327493.024
D2021082367,Building Use & Occupancy,"Retail, Department / Retail Stores",12/29/2021 6:00,877171,3532 MURFREESBORO PIKE,ANTIOCH,TN,LOT 5 MT. VIEW MARKETPLACE REVISION,WIMCO Corp,CAUO,CAF20M001,"REJECTED: INCORRECT PERMIT TYPE, CACR PERMIT TYPE REQUIRED. MUST INITIATE NEW PERMIT APPLICATION ONLINE WITH PROPER APPLICATION TYPE (CACR).      Interior deli remodel of Publix Supermarket",8,-86.61510283,36.05330041,12,37013,-9641949.142,4307957.907
D2022000259,Building Residential - Rehab,"Multifamily, Tri-Plex, Quad, Apartments",1/3/2022 6:00,0,1206 PHILLIPS ST,NASHVILLE,TN,LOT 41 PT 40 HARDING PLAN,HUFFINE FIRST SERVICE,CARR,CAA03R398,Cosmetic renovations and window replacements on the entire building.,21,-86.79894913,36.16965871,13,37208,-9662414.819,4323991.331
D2022009281,Building Residential - New,Single Family Residence,2/10/2022 6:00,0,1503 DUGGER DR,NASHVILLE,TN,LOT 41 DUGGER HGTS,Bonham Builders LLC,CARN,CAA01R301,"REJECTED FOR THE FOLLOWING REASONS: APPLICANT HAS NOT PROVIDED STAMPED SITE PLAN AND CONTEXTUAL SURVEY PLAN TO DETERMINE FRONT SETBACK. EMAIL DIRECTLY TO: THOMAS.CORCORAN@NASHVILLE.GOV. PERMIT APPLICATION NUMBER MUST BE IN SUBJECT LINE TO PROCESS.      To construct a single family residence HPR at 1503 Dugger Drive. Total heated square footage is 2694 Square foot unheated is front porch 52 sqft, Back porch 150 sqft , garage at 379 sqft totaling 3,275 sqft  under roof.   must provide a sign stating the companies name and phone number for the accepted times to work during the week. must comply with the tree ordinance to add a 2 caliper tree for every 30 feet of road frontage.",7,-86.71223183,36.19285121,14,37206,-9652761.493,4327189.951
D2022012278,Building Residential - New,"Accessory Structure, Pools - Residential",2/23/2022 6:00,109000,501 KEMP DR,HERMITAGE,TN,LOT 137 AARONS CRESS PHASE 1B,Sundaze Pool And Spa,CARN,CAA14U017,Building a 16x32 pool with 7x7 round spa in yard,12,-86.57893865,36.18022202,15,37076,-9637923.364,4325448.064
D2022013918,Building Residential - New,Single Family Residence,7/15/2022 5:00,252228,411 MCADOO AVE,NASHVILLE,TN,LOT 94 WEST END PARK TERRACE,ART BUILDING INC,CARN,CAA01R301,"The parent parcel number is 10401047600, is zone code OV-IMP, contains 0.07 Acres. Proposed horizontal property line regime with 2,228 Square Feet of living area, 284 SF attached garage,58 SF of front porch area, 122 SF of exterior deck area. 32.9’ min. front s/b, 3’ min. side s/b and 20’ min rear s/b, must comply with tree regulations one new 2” tree for every 30’ of road frontage, for every 50’ of site frontage, a 24”x36” sign must be placed in English and Spanish with information in regard to metro council 2017-835. Must comply with metro council bills 2014-725 and 2014-770. max allowed height is 45' three floors max. min required distance between structures is 6' min with no bump outs.",24,-86.82371692,36.14587695,16,37205,-9665171.956,4320712.425
D2022016573,Building Residential - New,Single Family Residence,3/14/2022 5:00,452529,1509 DUGGER DR,NASHVILLE,TN,LOT 44 DUGGER HGTS,Gill design & Construction,CARN,CAA01R301,PERMIT APPLICATION CANCELLED:  APPLICATION D2022016573 INCOMPLETE   MUST HAVE CORRECT PARCEL NUMBER  MUST INCLUDE CONTEXTUAL SURVEY STAMPED BY RLS  MUST INCLUDE SITE PLAN STAMPED BY RLS  MUST INCLUDE FRONT ELEVATION WITH GARADES/HEIGHT STAMPED BY RLS  NEW PERMIT APPLICATION MUST BE INITIATED BY APPLICANT    Build from Ground up New construction home 2559 SF,7,-86.71207729,36.19343128,17,37206,-9652744.29,4327269.964
D2022016579,Building Residential - New,Single Family Residence,3/16/2022 5:00,756616,1509 DUGGER DR,NASHVILLE,TN,LOT 44 DUGGER HGTS,Gill design & Construction,CARN,CAA01R301,PERMIT APPLICATION CANCELLED:  APPLICATION D2022016579 INCOMPLETE   MUST HAVE CORRECT PARCEL NUMBER  MUST INCLUDE CONTEXTUAL SURVEY STAMPED BY RLS  MUST INCLUDE SITE PLAN STAMPED BY RLS  MUST INCLUDE FRONT ELEVATION WITH GARADES/HEIGHT STAMPED BY RLS  NEW PERMIT APPLICATION MUST BE INITIATED BY APPLICANT    Build single family new Construction from the ground up. 2529SF,7,-86.71207729,36.19343128,18,37206,-9652744.29,4327269.964
D2022019946,Building Use & Occupancy,"Bar Or Nightclub, Tavern And Bars",3/24/2022 5:00,3000000,416 B BROADWAY,NASHVILLE,TN,PT LOT 81 ORIGINAL TOWN OF NASHVILLE,IKON Construction,CAUO,CAF06A204,Interior renovation of the existing first floor and mezzanine level. Extensive interior renovation of the second floor which includes structural steel framework and new floor system. New steel structure and interior build-out of a new third floor. Third floor addition includes a private roof top patio seating area. Addition to the rear of the facility mainly to incorporate a new elevator. Minor modification and or replacement of the existing exterior windows.,19,-86.77798241,36.16088348,19,37203,-9660080.814,4322781.332
D2022055011,Building Demolition Permit,Demolition Permit - Commercial,8/12/2022 5:00,200000,2500 CHARLOTTE AVE,NASHVILLE,TN,LOT 1 MEDICAL MART RESUB LOT 1,Thomas Johnson,CADM,CAZ01A002,na,21,-86.81386567,36.15551817,20,37209,-9664075.32,4322041.587
D2023002915,Building Residential - Rehab,Single Family Residence,1/20/2023 6:00,0,3602 HAMPTON AVE,NASHVILLE,TN,LOT 32 PT 33 HENRY SPERRY,Alpha-Omega Remodeling,CARR,CAA01R301,Kitchen remodel ,24,-86.82733329,36.11780814,21,37215,-9665574.529,4316843.722
D2023006962,Building Residential - Rehab,Single Family Residence,2/1/2023 6:00,225000,2605 LISHWOOD DR,NASHVILLE,TN,LOT 126 SEC 3 SUTHERLAND HGTS,BUILD GROUP LLC,CARR,CAA01R301,"Full Gut of house down to the studs. We are replacing every aspect of this house except the HVAC equipment and exterior cladding. All other components of this house will be replaced.  no increase to building footprint.  remains single family residence.  only one kitchen allowed in residence.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",15,-86.68505856,36.21857864,22,37214,-9649736.578,4330739.287
D2023014026,Building Residential - Addition,Single Family Residence,3/3/2023 6:00,35984,1001 PERCY WARNER BLVD,NASHVILLE,TN,LOT 252 SEC 1 WARNER PARK VALLEY,BRODERICK BUILDERS INC,CARA,CAA01R301,"To construct a 744 sq ft carport addition to the south side of the existing single-family residence, per plan.     THE HOLDER OF THIS PERMIT HEREBY CERTIFIES THAT ALL CONSTRUCTION AND DEMOLITION WASTE WILL BE DISPOSED IN AN APPROVED LANDFILL. THE HOLDER OF THIS PERMIT ALSO CERTIFIES THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE.    FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.",23,-86.88111432,36.09013079,23,37205,-9671561.406,4313030.327
D2023027056,Building Residential - New,"Multifamily, Tri-Plex, Quad, Apartments",4/25/2023 5:00,0,2405 E JEFFERSON ST,NASHVILLE,TN,PT. LOT 22 HOLMAN RESUB. CLARK.,"ViViD1 Builders, LLC",CARN,CAA03R398,"Permit not required by zoning    The work for this permit is for the Common Area, which includes an irrigation system.",21,-86.8130761,36.16848316,24,37208,-9663987.426,4323829.229
D2023029429,Building Demolition Permit,Demolition Permit - Residential,5/4/2023 5:00,20000,1130 WINDING WAY,NASHVILLE,TN,LOT 11 SEC 1 BLK C JACKSON PARK,LESUEUR CONSTRUCTION CO,CADM,CAZ01A001,"Demo existing home in need of much repairs sitting on 2 lots to build new residence.  not to be burned on lot.  RS10 Zoning.  MHZC MUST REVIEW APPLICATION.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",7,-86.72178616,36.22628325,25,37216,-9653825.076,4331802.436
D2023033242,Building Residential - New,Single Family Residence,5/19/2023 5:00,2943,879 ASHTON PARK WAY,MOUNT JULIET,TN,LOT 10 ASHTON PARK PH 1,DREES PREMIER HOMES INC,CARN,CAA01R301,Ashton Park lot 10.  To build a two story home for new construction with 2223 sq ft living space and 448 sq ft garage and 142 sq ft covered porch and 130 sq ft uncovered deck,12,-86.56999519,36.14889591,26,37122,-9636927.783,4321128.609
D2023069676,Building Residential - New,Single Family Residence,9/19/2023 5:00,358468,738 CROLEY DR,NASHVILLE,TN,LOT 65 SEC 1 MOSS WOOD SUB,SUMMIT BUILDERS CORP,CARN,CAA01R301,"To construct a 2730.5SF single-family residence with 529SF garage and 80SF porch. 5' min. side setbacks, 20' min. rear setback. front setback at ' per average. Not to be over any easements or setbacks. I certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Also, I certify that no construction & demolition waste will be stored on the property in violation of any provision of the Metro Code.",20,-86.87417165,36.1601198,27,37209,-9670788.551,4322676.036
D2023073148,Building Residential - Rehab,Single Family Residence,9/27/2023 5:00,7272,816 N 6TH ST,NASHVILLE,TN,LOT 52 J B HAYNIES MILLERS ADDN,MLS CONSTRUCTION LLC,CARR,CAA01R301,"Pulling building permit on front property so that we can do a service upgrade from 100 to 200 amps.  SP Zoning.  remains single family residence.  no increase to building footprint.  only one electric meter allowed for this residence.  only one kitchen allowed in residence.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",5,-86.76225175,36.18526371,28,37207,-9658329.685,4326143.408
D2022005259,Building Residential - New,Single Family Residence,1/25/2022 6:00,348983,0 UNKNOWN,NASHVILLE,TN,UNIT A HOMES AT 1527 HAYDEN DRIVE,Jackson Builders,CARN,CAA01R301,"REJECTED FOR THE FOLLOWING REASONS: APPLICANT HAS NOT PROVIDED STAMPED SITE PLAN  AND CONTEXTUAL SURVEY PLAN TO DETERMINE FRONT SETBACK.  EMAIL DIRECTLY TO: THOMAS.CORCORAN@NASHVILLE.GOV. PERMIT APPLICATION NUMBER MUST BE IN SUBJECT LINE TO PROCESS.    To construct ...Unit A… of HPR attached duplex with 2643sf heated and cooled and 245sf porches/decks and 345sf of garage. units detached. max allowed height is 45' three floors max. 36.7' min front s/b; must comply with tree regulations one new two inch tree for every 30' road frontage. for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",7,-86.92575644,36.0879214,29,0,-9676530.944,4312725.975
D2023077192,Building Residential - Rehab,"Multifamily, Townhome",10/10/2023 5:00,30000,2510 D FOSTER AVE,NASHVILLE,TN,LOT 174 RESUB 3-4-5 & 6 CUMBERLAND NURSERIES,"FOUND REAL ESTATE, LLC",CARR,CAA03R301,"Update existing with new cabinets, flooring, windows, tile and hvac. ",16,-86.74296327,36.11734523,30,37210,-9656182.501,4316779.931
D2023090397,Building Residential - New,Single Family Residence,11/16/2023 6:00,0,131 EAGAN CIR,MADISON,TN,LOT 38 BLK B MYATT-EAGAN SUB,KIPU CONSTRUCTION LLC,CARN,CAA01R301,new build ,9,-86.67978183,36.26409851,31,37115,-9649149.175,4337022.034
D2023093160,Building Residential - New,"Accessory Structure, Pools - Residential",11/27/2023 6:00,0,6636 B BURKITT RD,ANTIOCH,TN,N SIDE BURKETT RD E OF WHITTEMORE LN TRACT 5 & 6,Dream Acres Pool Company,CARN,CAA14U017,"SITE PLAN, PROOF OF POOL ALARM PURCHASE AND COST REQUIRED.    TO INSTALL [DIMENSIONS REQUIRED] INGROUND POOL TO REAR OF EXISTING RESIDENCE … …10’ MINIMUM SIDE SETBACK… …10’ MINIMUM REAR SETBACK… …NOT TO INSTALL OVER OR OBSTRUCT ANY EASEMENTS… …AS OF JANUARY 1, 2011, THE TENNESSEE GENERAL ASSEMBLY REQUIRES THAT ALL RESIDENTIAL POOLS/ HOT TUBS GREATER THAN 36  IN DEPTH SHALL INSTALL A POOL ALARM BEFORE USING OR MAKING AVAILABLE FOR USE A SWIMMING POOL… …MUST COMPLY WITH APPLICABLE FENCING CODES/REQUIREMENTS… …",33,-86.64516864,35.99286987,32,37013,-9645296.053,4299640.322
D2023093267,Building Residential - Addition,Single Family Residence,11/27/2023 6:00,0,2709 SHARONDALE CT,NASHVILLE,TN,LOT 8 HILLSBORO CIRCLE,HUFFINE FIRST SERVICE,CARA,CAA01R301,"Project scope incomplete, Site plan and floor plans required, please submit to zoninghelpdesk@nashville.gov so a review can be scheduled.  Make sure that you provide the permit number in the subject line.    ADDITIONS TO RESIDENCE",24,-86.80932788,36.12244723,33,37215,-9663570.176,4317483.029
D2024017651,Building Residential - New,Single Family Residence,3/19/2024 5:00,2904,1717 LUTON ST,NASHVILLE,TN,PT LOT 14 RESUB LUTONS ADDITION,X5 CONSTRUCTION LLC,CARN,CAA01R301,"To construct one detached HPR - 1717 B Luton St.  2326 SF single family residence (HPR) with 578Sf attached garage.  5' min. side setback, 6' min distance from Unit A and 20' min. rear setback, not to be over any easements. unit detached. maximum allowed height is 45' three floors maximum. minimum required distance between structures is 6' minimum with no bump outs. ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.* For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.***. must comply fully with metro council bills 2014-725 and 2014-770.",5,-86.76735283,36.20446692,34,37207,-9658897.535,4328792.301
D2023095926,Building Residential - New,"Accessory Structure, Garage",12/5/2023 6:00,184596,4327 B SNEED RD,NASHVILLE,TN,PT LOT 11 BELLE MEADE ANNEX ALSO PT LOT 9 COMPTONWOOD,"Music City Renovations & Construction, LLC",CARN,CAA14U009,"To construct a new, 1-story, 2-car garage (739 SF +/-). Construction of the new garage and apron are to be per architectural plans, provided by Owner (see attachment). The property setbacks and zoning variance on shown on attached architectural and surveyor drawings & plans. Electrical services to be added per required building codes. Property to remain a single family residence.  Owner has selected to not pursue interior renovations at this time.",34,-86.83745389,36.09693478,35,37215,-9666701.149,4313967.659
D2024021478,Building Residential - Roofing / Siding,Single Family Residence,3/7/2024 6:00,0,4804 TRACEWAY DR,NASHVILLE,TN,LOT 151 TRACESIDE SEC 3,"The Contractors Group, Inc",CARK,CAA01R301,"•Frame a new roof structure over the deck with 6 x 6 columns, rafters, 12’ overhangs around the perimeter. We will match shingles, aluminum trim and gutters as close as possible  Replace existing deck boards with composite deck boards, using existing framing.",35,-86.96221494,36.03651923,36,37221,-9680589.485,4305647.526
D2024025699,Building Residential - Rehab,Single Family Residence,3/20/2024 5:00,0,907 31ST AVE N,NASHVILLE,TN,LOTS 6 & 7 BLK 27 FISK UNIVERSITY,Southern Comfort HVAC-R ELECTRICAL LLC,CARR,CAA01R301,redo a bathroom,21,-86.82331036,36.161127,37,37209,-9665126.698,4322814.909
D2024029187,Building Residential - New,Single Family Residence,3/29/2024 5:00,0,929 CURDWOOD BLVD,NASHVILLE,TN,LOT 1 MAPLEWOOD MANOR RESUB LOT 17 AND 18,MAXIM HOMES LLC,CARN,CAA01R301,To continue Renovation from CARA 2023097171 under New Construction Permit per Inspector.  Inspector requires new construction permit due to amount of new framing. No Change to scope of work. To construct 600SF 2nd story addition as well as renovations to portions of existing dwelling. no change to footprint. to remain single family. ,7,-86.73152571,36.22095799,38,37216,-9654909.278,4331067.599
D2024033178,Building Residential - Addition,Single Family Residence,4/10/2024 5:00,50576,1122 SUNNYMEADE DR,NASHVILLE,TN,LOT 14 BLK A SUNNYMEADE,WIRED LLC,CARA,CAA01R301,add 216 sq ft bathroom/closet and 309 sqft of patio to rear of house,7,-86.72531823,36.21720325,39,37216,-9654218.264,4330549.51
D2024033879,Building Demolition Permit,Demolition Permit - Commercial,4/11/2024 5:00,15000,600 6TH AVE S,NASHVILLE,TN,PT LOT 130 BARROW GROVE,PREMIER CONSTRUCTION,CADM,CAZ01A002,"to demolish structure to grade.  DTC Overlay.  not to be burned on lot.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",19,-86.77561225,36.15349083,40,37203,-9659816.969,4321762.079
D2024036378,Building Residential - Addition,"Accessory Structure, Decks",7/26/2024 5:00,130,3319 OLD HICKORY BLVD 19,OLD HICKORY,TN,UNIT D3 OLD HICKORY TOWNHOMES,The Covered Patio,CARA,CAA14U015,"10x13 Insulated Patio Cover White Insulated Panels with Black Posts, Aluminum Screen Room.",11,-86.63483514,36.24504577,41,37138,-9644145.733,4334391.89
D2024040378,Building Residential - Rehab,Single Family Residence,5/2/2024 5:00,200000,814 STOCKELL ST,NASHVILLE,TN,LOT 99 DR V S LINDSLEY PLAN,Middle Tennessee Renovation LLC.,CARR,CAA01R301,"Interior renovation on a 4 bedroom 3.5 bath house. All new interior finishes. New Electrical, plumbing and HVAC.",5,-86.76998617,36.18519802,42,37207,-9659190.677,4326134.348
D2024052079,Building Residential - Addition,Single Family Residence,6/7/2024 5:00,0,4202 NEVADA AVE,NASHVILLE,TN,LOT 103 BLK 3 CHARLOTTE PARK CO 1ST ADDN,What’s He Building?,CARA,CAA01R301,Converting a covered patio into a finished office. Space is currently attached to the main dwelling and sits under the current roof structure. No changes will be made to the current footprint or roof line. ,24,-86.83733366,36.14911047,43,37209,-9666687.765,4321158.188
D2024053615,Building Residential - New,Single Family Residence,6/12/2024 5:00,0,1535 LOCK RD,NASHVILLE,TN,UNIT 2 LEGACY,CONCORDIA DEVELOPMENT INC,CARN,CAA01R301,"Construct a 2 story 1,139 square foot single family home.",2,-86.78723131,36.19992656,44,37207,-9661110.397,4328165.944
D2024056164,Building Residential - Rehab,Single Family Residence,6/18/2024 5:00,0,1408 DOUGLAS AVE,NASHVILLE,TN,PT LOT 33 H M DOAKS,CURBIO INC,CARR,CAA01R301,A building permit is needed for structural work | replacing ridge beam | exterior wall framing,6,-86.74065204,36.1919955,45,37206,-9655925.216,4327071.918
D2024062695,Building Residential - New,Single Family Residence,7/9/2024 5:00,220000,700 STARIA ALY,NASHVILLE,TN,UNIT 10 HAMPTON COTTAGES AMENDED,UNIQUE MANAGEMENT DEVELOPMENT & CONSTRUCTION LLC,CARN,CAA01R301,Build a Single family 1800 st ft home,2,-86.77927654,36.20905853,46,37207,-9660224.876,4329425.764
D2024069772,Building Residential - New,"Multifamily, Townhome",8/14/2024 5:00,331832,533 LIMESTONE PL,NASHVILLE,TN,UNIT 19 NEW CUMBERLAND LOT C,D+M Development LLC,CARN,CAA03R301,"Construct a townhome with 2535 SF of heated/cooled space, 400 SF of garage space, and 107 SF of porches/decks. Zoned SP. Must comply with Master Permit #CAUO - 2022010945, known as  The New Cumberland Lot C.  No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",2,-86.81149961,36.20409562,47,37207,-9663811.932,4328741.077
D2024073259,Building Residential - Rehab,Single Family Residence,8/13/2024 5:00,500000,3005 WINDEMERE CIR,NASHVILLE,TN,LOT 142 SEC 5 LINCOYA HILLS,Middle Tennessee Renovation LLC.,CARR,CAA01R301,"Interior and exterior renovation. rewiring of the kitchen and lighting. upgraded plumbing to pex and pvc, new windows, trim, paint, doors, cabinets and light fixtures. ",15,-86.67173,36.18331908,48,37214,-9648252.85,4325875.202
