Permit #,Permit Type Description,Permit Subtype Description,Date Entered,Construction Cost,Address,City,State,Subdivision Lot,Contact,Permit Type,Permit SubType,Purpose,Council District,Lon,Lat,ObjectId,Zip Code,x,y,Permit Description
T2021057723,Building Commercial - Rehab,"Automobile Convenience, Markets",9/8/2021 5:00,500000,6418 CENTENNIAL BLVD,NASHVILLE,TN,"LOT 1R JRB HOLDINGS, LLC CONSOLIDATION PLAT",kristi snyder,CACR,CAF24M003,"Update deli and drink bar area cabinetry and equipment, remodel showers and restrooms; update finishes    POC: Kristi Snyder 865-474-2334",20,-86.86531953,36.17229863,106,37209,-9669803.138,4324355.371,Building Commercial Rehab
T2021058386,Building Commercial - Rehab,"Retail, Department / Retail Stores",9/10/2021 5:00,0,3847 DICKERSON PIKE,NASHVILLE,TN,LOT 1 MARKETPLACE,abbye bobbett,CACR,CAF20M001,"Remodel of an existing retail store. Scope is to remove existing equipment, fixtures,  shelving, ceilings, interior walls and finishes as required. New interior finishes and  framing. Modify or replace HVAC, electrical, and plumbing as required per new floor  plan. The exterior of the building is to be newly painted and repaired as needed. Mill,  overlay and restripe parking lot.  POC ABBYE BOBBETT",3,-86.75568796,36.26790211,115,37207,-9657599.007,4337547.181,Building Commercial Rehab
T2021058629,Building Commercial - Rehab,"Multifamily, Tri-Plex, Quad, Apartments",9/13/2021 5:00,0,5800 MAUDINA AVE,NASHVILLE,TN,PT LOTS 6 & 7 J. M. BRANHAM RESUB VERNON FARM,stefan pitre,CACR,CAA03R398,"THE SCOPE OF THE RENOVATIONS WILL INCLUDE INTERIOR RENOVATIONS AND REPLACING COMPONENTS  THAT ARE IN DISREPAIR INCLUDING KITCHEN AND BATH REMODELS, NEW FLOORING, AS WELL AS ENERGY  EFFICIENT HVAC SYSTEMS AND WATER HEATERS IN ALL UNITS. EXTERIOR RENOVATIONS WILL INCLUDE  BRICK REPAIRS, SITE RAILING REPAIRS, GUTTERS AND DOWNSPOUTS REPAIRS. THE SCOPE OF WORK  INCLUDES UPGRADING ELEVEN (11) EXISTING UNITS TO BE ACCESSIBLE (5%) TO CURRENT STANDARDS AND  EQUIPPING FIVE (5) EXISTING UNITS FOR THE AUDITORY/VISUAL IMPAIRED (2%).  PRIORITY WILL BE GIVEN TO MAINTAINING THE ORIGINAL DESIGN AESTHETIC WHILE ALSO UPGRADING  MATERIALS TO INCREASE THE LONGEVITY OF THE BUILDINGS AND DWELLING UNITS.  POC STEFAN PITRE FOR EXISTING APARTMENTS.",20,-86.8619303,36.14417746,117,37209,-9669425.85,4320478.146,Building Commercial Rehab
T2021059106,Building Commercial - Addition,Restaurant (Full Service),9/14/2021 5:00,0,7657 HIGHWAY 70 S,NASHVILLE,TN,LOT 1 BELLEVUE REV1,Todd Sneed 615-485-1596,CACA,CAF19A203,"COMM PUD, Planning to review/approve prior to permit issuance. Plans must be submitted electronically via ePlans system for Commercial and Fire Reviews.    Proposed patio addition and addition into adjacent tenant space for existing El Agavero restaurant. Adding opening into new tenant space, adding 2 restrooms.     Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.     POC: Todd Sneed 615-485-1596",22,-86.9505553,36.07697829,129,37221,-9679291.54,4311218.642,Building Commercial Addition
T2021059214,Building Commercial - Rehab,"General Office, Professional Services",9/14/2021 5:00,0,12647 OLD HICKORY BLVD,ANTIOCH,TN,LOT 1 STAR SUB RESUB LOT 1,JIM LASSITER,CACR,CAD02B016,build out for realtor school 1359 sq.ft. crye leike  POC JIM LASSITER,32,-86.61065275,36.03521177,130,37013,-9641453.761,4305467.54,Building Commercial Rehab
T2021059747,Building Commercial - Rehab,"Commercial Amusement (In), Other",9/16/2021 5:00,0,1319 6TH AVE N,NASHVILLE,TN,PT LOT 30 NO NASHVILLE REAL EST CO,charlesa hopkins,CACR,CAL03A999,"to use existing building for event space. 8 required parking spaces.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",19,-86.79119768,36.17734993,140,37208,-9661551.931,4325051.969,Building Commercial Rehab
T2021060134,Building Commercial - New,Restaurant (Take Out),9/17/2021 5:00,0,1807 9TH AVE N,NASHVILLE,TN,PT.LOTS 1&2& LOTS 3&4J.L. VALENTINO SUB.OF LOT 1 WOODARD ADD,nielah burnett,CACN,CAF31A203,"to convert 1 parking space to patio area with bench seating for InnerG juice & yoga.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",21,-86.8021437,36.18095647,147,37208,-9662770.436,4325549.356,Building Commercial New
T2021060108,Building Commercial - Rehab,"Building Contractor Supply, Retail",9/17/2021 5:00,0,3736 DICKERSON PIKE,NASHVILLE,TN,LOT 1 BELLSHIRE ESTATES FLATT RESUB,Jim Rago 716-860-7278,CACR,CAH01M001,"Need more details of work being done to each building and outdoor storage areas. Provide site plan with buildings being renovated designated. Applicant to verify if electronic plans submittal is required for Commercial and Fire Marshall reviews.    Renovations to existing buildings for use as Bison Building Solutions, building contractors supply business. Outdoor storage of landscaping materials is legally non-conforming per J. Hargis. Use is permitted with conditions per 17.16.090 B including a  D  landscape buffer yard screening where such facilities are on a lot adjacent to a residential zone district or district permitting residential use. Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.  POC: Jim Rago 716-860-7278",3,-86.75799672,36.26237597,148,37207,-9657856.017,4336784.219,Building Commercial Rehab
T2021060380,Building Commercial - Rehab,Heavy Equipment Sales,9/20/2021 5:00,0,1031 WHITES CREEK PIKE,NASHVILLE,TN,LOT 2 W.N.A.H. SUB,Jeff Porter 615-397-8905,CACR,CAH04M001,"IWD, MDHA & UZO.  MDHA to review and approve prior to zoning review.      Renovations to existing buildings for UHAUL Rental and self storage facility. Interior renovations to two existing metal buildings on parcel. Includes adding 2nd floor to existing 14,450 sf building. Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.  POC JEFF PORTER  615-397-8905.....  …..NEED CONSTRUCTION COST.....",5,-86.77476339,36.19189662,150,37207,-9659722.474,4327058.279,Building Commercial Rehab
T2021060438,Building Commercial - Tenant Finish Out,"Multifamily, Tri-Plex, Quad, Apartments",9/20/2021 5:00,955307,2205 B ELLISTON PL,NASHVILLE,TN,"PT. LOT 7, 8, 9, & 10 MELLIERS","ANDERSON, R G CO INC",CACT,CAA03R398,"THIS APPLICATION IS FOR A NEW CACT PERMIT TO COVER THE SCOPE OUTLINED BELOW:   FOR FINISH-OUT & OCCUPANCY OF THE NEW CONSTRUCTION PARKING GARAGE STRUCTURE & ALL SPACES INSIDE ITS PERIMETER. POC NATHAN NORWOLD 615-250-8665  parcels 09215017200, 09215017300,09215017400 must be combined before master can be issued",21,-86.80372399,36.15116555,154,37203,-9662946.354,4321441.504,Building Commercial Tenant Finish Out
T2021060540,Building Commercial - Rehab,"Manufacturing, Light Hazardous (H1-H5)",9/21/2021 5:00,1020000,2909 ARMORY DR,NASHVILLE,TN,LOT 159 SEC 3 SIDCO,DANIELLE JOHNSON,CACR,CAH06H000,"Tenant buildout of 12,827 square feet that will be built out in two phases.  POC DANIELLE JOHNSON, 615-834-7373, Ext. 121.",26,-86.75269291,36.10887199,155,37204,-9657265.6,4315612.349,Building Commercial Rehab
T2021060554,Building Commercial - Addition,"Religious Institution, Worship Space",9/21/2021 5:00,0,5106 NOLENSVILLE PIKE,NASHVILLE,TN,E SIDE OF NOLENSVILLE PK S OF TUSCUMLUM,Jeff Harrington 615-400-6332,CACA,CAB10A305,"Need a notarized letter from property owner/authorized representative to allow you to obtain the permit on their behalf. Contact Plans review to determine if the plans submitted are sufficient. Self permitting.  CDO, Planning to review/approve prior to zoning review.    Includes demolition of existing porch and replacing with  new  20 ft x 22 ft (440 sf) covered porch addition on side of existing church. 1. Acknowledges  applying for this self building permit in own name, & will act as own contractor accepting full responsibility for code compliance, for hiring & employing individuals & has ultimate responsibility for my own work & for the work of others.  Acting as my own general contractor, I further understand that I may forfeit certain protections, which might be available to me through the State of Tenn general contractor’s licensing process.  I further acknowledge that as a self building permit holder I am responsible for requesting all required inspections & completing all authorized work in compliance with applicable adopted codes.  I further understand that separate permits are required for any proposed electrical, plumbing, & gas/mechanical work and is not part of this building permit….  2. Pursuant # 2006-1263  Metro code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code...3...You can dig your footers, but do not pour any concrete until you call for an inspection.  Also do not put up any drywall until you call for an inspection.  The idea is you do not cover up anything  with concrete or drywall until an inspector has had a chance to review..***SITE PLAN SENT TO FILE",27,-86.71551994,36.05835582,157,37211,-9653127.524,4308654.017,Building Commercial Addition
T2021060552,Building Commercial - Tenant Finish Out,"Multifamily, Apt / Twnhome > 5 Unit Bldg",9/21/2021 5:00,572674,2205 ELLISTON PL 201-218,NASHVILLE,TN,"PT. LOT 7, 8, 9, & 10 MELLIERS","ANDERSON, R G CO INC",CACT,CAA03R399,"FOR FINISH-OUT & OCCUPANCY OF THE NEW CONSTRUCTION 1st FLOOR RESIDENTIAL UNITS LISTED BELOW & RELATED SUPPORT SPACES.   UNITS: 201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217, & 218.   POC NATHAN NORWOLD 615-250-8665  parcels 09215017200, 09215017300,09215017400 must be combined before master can be issued",21,-86.80353537,36.1514017,158,37203,-9662925.356,4321474.06,Building Commercial Tenant Finish Out
T2021060579,Building Commercial - Tenant Finish Out,"Multifamily, Apt / Twnhome > 5 Unit Bldg",9/21/2021 5:00,572674,2205 ELLISTON PL 301-318,NASHVILLE,TN,"PT. LOT 7, 8, 9, & 10 MELLIERS","ANDERSON, R G CO INC",CACT,CAA03R399,"FOR FINISH-OUT & OCCUPANCY OF THE NEW CONSTRUCTION 2nd FLOOR RESIDENTIAL UNITS LISTED BELOW & RELATED SUPPORT SPACES.   UNITS: 301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317, & 318.   POC NATHAN NORWOLD 615-250-8665  parcels 09215017200, 09215017300,09215017400 must be combined before master can be issued",21,-86.80353537,36.1514017,159,37203,-9662925.356,4321474.06,Building Commercial Tenant Finish Out
T2021060606,Building Commercial - New,"Warehouse, Storage S-1",9/21/2021 5:00,11967,300 B 42ND AVE N,NASHVILLE,TN,LOTS 9 THRU 14 W L HAILEYS SUB,SELF CONTRACTOR COMMERCIAL (SEE APPLICANT INFORMATION),CACN,CAH10S001,"IR Zoning.  Plans sent to file.  Replacing existing 14 x 21 shed with a 24 x 31 ft shed.  To locate a 24 ft x 31 ft (744 sq ft) building on parcel for storing lawn maintenance equipment. 5 ft minimum front setback and 20 ft minimum rear setbacks.     Acknowledges  applying for this self building permit in own name, & will act as own contractor accepting full responsibility for code compliance, for hiring & employing individuals & has ultimate responsibility for my own work & for the work of others.  Acting as my own general contractor, I further understand that I may forfeit certain protections, which might be available to me through the State of Tenn general contractor’s licensing process.  I further acknowledge that as a self building permit holder I am responsible for requesting all required inspections & completing all authorized work in compliance with applicable adopted codes.  Pursuant # 2006-1263  Metro code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.  POC: Chris Corby O: (615) 321-2037 C: (615) 405-1449",24,-86.83565817,36.14928323,161,37209,-9666501.25,4321182.004,Building Commercial New
T2021060928,Building Commercial - Tenant Finish Out,"Multifamily, Apt / Twnhome > 5 Unit Bldg",9/22/2021 5:00,572674,2205 ELLISTON PL 401-418,NASHVILLE,TN,"PT. LOT 7, 8, 9, & 10 MELLIERS","ANDERSON, R G CO INC",CACT,CAA03R399,"FOR FINISH-OUT & OCCUPANCY OF THE CONSTRUCTION 3rd FLOOR RESIDENTIAL UNITS LISTED BELOW & RELATED SUPPORT SPACES.   UNITS: 401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417, & 418.   POC NATHAN NORWOLD 615-250-8665  parcels 09215017200, 09215017300,09215017400 must be combined before master can be issued",21,-86.80353537,36.1514017,166,37203,-9662925.356,4321474.06,Building Commercial Tenant Finish Out
T2021060942,Building Commercial - Tenant Finish Out,"Multifamily, Apt / Twnhome > 5 Unit Bldg",9/22/2021 5:00,572674,2205 ELLISTON PL 501-518,NASHVILLE,TN,"PT. LOT 7, 8, 9, & 10 MELLIERS","ANDERSON, R G CO INC",CACT,CAA03R399,"FOR FINISH-OUT & OCCUPANCY OF THE NEW CONSTRUCTION 4th FLOOR RESIDENTIAL UNITS LISTED BELOW & RELATED SUPPORT SPACES.   UNITS: 501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517, & 518.   POC NATHAN NORWOLD 615-250-8665  parcels 09215017200, 09215017300,09215017400 must be combined before master can be issued",21,-86.80353537,36.1514017,167,37203,-9662925.356,4321474.06,Building Commercial Tenant Finish Out
T2021060947,Building Commercial - Tenant Finish Out,"Multifamily, Apt / Twnhome > 5 Unit Bldg",9/22/2021 5:00,572674,2205 ELLISTON PL 601-618,NASHVILLE,TN,"PT. LOT 7, 8, 9, & 10 MELLIERS","ANDERSON, R G CO INC",CACT,CAA03R399,"FOR FINISH-OUT & OCCUPANCY OF THE NEW CONSTRUCTION 5th FLOOR RESIDENTIAL UNITS LISTED BELOW & RELATED SUPPORT SPACES.   UNITS: 601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617, & 618.  POC NATHAN NORWOLD 615-250-8665  parcels 09215017200, 09215017300,09215017400 must be combined before master can be issued",21,-86.80353537,36.1514017,168,37203,-9662925.356,4321474.06,Building Commercial Tenant Finish Out
T2021061879,Building Commercial - Rehab,"Medical Office, Professional Services",9/27/2021 5:00,0,3401 WEST END AVE,NASHVILLE,TN,LOTS 9 TH 14  BRANSFORD REALTY CO WEST END HGTS,DERRICK SCHMIDT,CACR,CAE04B016,"Interior renovations and improvements of approximately 60,245 SF within an existing  office building, including new finishes, HVAC rework, electrical, ceiling and lighting  POC DERRICK SCHMIDT",18,-86.81923912,36.13875161,192,37203,-9664673.49,4319730.214,Building Commercial Rehab
T2021062156,Building Commercial - Rehab,Restaurant (Full Service),9/28/2021 5:00,0,3953 NOLENSVILLE PIKE,NASHVILLE,TN,LOT 5 ELYSIAN PLAZA SUB RESUB OF LOTS 4 & 5,CLEVELAND SOLOMON,CACR,CAF19A203,"The project is to convert approximately 4,455 sq. ft. of the existing supermarket (formerly used as a meat  market) to a new Slim & Husky's Pizza, Take-out and Pizza Prep Restaurant. Work includes demolishing  a portion of the existing freezer for a new Entry Lobby, construction of a 2HR tenant separation wall, and  installing new flooring, wall and ceiling finishes.  POC CLEVELAND SOLOMON",26,-86.73036182,36.08476265,201,37211,-9654779.714,4312290.859,Building Commercial Rehab
T2021062258,Building Commercial - Rehab,"Medical Office, Professional Services",9/28/2021 5:00,0,2201 MURPHY AVE 215,NASHVILLE,TN,UNIT 215  2201 MEDICAL PLAZA,TERESA HUNTER,CACR,CAE04B016,"2083 sq. ft. rehab for CUTTING EGDE Foot & Ankle,   POC TERESA HUNTER, 615-254-1837.",19,-86.80622799,36.15411496,202,37203,-9663225.098,4321848.127,Building Commercial Rehab
T2021062491,Building Commercial - New,"General Office, Professional Services",9/29/2021 5:00,432116,939 WOODLAND ST,NASHVILLE,TN,LOT 24 DAVIS ADDN TO EDGEFIELD,TENNESSEE TILE & MARBLE CO INC,CACN,CAD02B016,To reconstruct a new two story shell building in same footprint for office/retail damaged by tornado in March of 2020.  POC DAN LILES.  MDHA Overlay...……………………………………….  …..NOTE: THIS PERMIT CONSIDERED AS A SHELL WITH SEPARATE PERMITS REQUIRED FOR FUTURE TENANTS. NO USE AND OCCUPANCY THIS PERMIT...………………………….,6,-86.75371698,36.17627357,205,37206,-9657379.599,4324903.53,Building Commercial New
T2021062539,Building Commercial - Rehab,"General Office, Professional Services",9/29/2021 5:00,1000,4113 OLD HICKORY BLVD,OLD HICKORY,TN,LOTS 20 AND 22 BLK B HADLEY BEND CITY,scott sherrod,CACR,CAD02B016,"to use existing buildings for MCH nashville.    ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***      ………………………………………………….    CODE STAMPED PLANS ATTACHED IN CITYWORKS",11,-86.62588212,36.22436661,210,37138,-9643149.087,4331537.952,Building Commercial Rehab
T2021062572,Building Commercial - New,"Leasing / Sales Office, Other",9/29/2021 5:00,2000,15 B CULVERT ST,NASHVILLE,TN,LOT 11 LUMSDEN 3RD ADDN & PT CLSD ALLEY,ERIN TAYLOR,CACN,CAD03B000,"Placing leased 32' x 8' construction/office trailer   POC ERIN TAYLOR, (612) 986-5899.",16,-86.75717349,36.13881308,214,37210,-9657764.376,4319738.687,Building Commercial New
T2021063098,Building Commercial - Rehab,"Warehouse, Storage S-1",9/30/2021 5:00,121188,2701 COUCHVILLE PIKE 103,NASHVILLE,TN,LOT 1 HAMILTON CREEK,LUKE SELEDEE,CACR,CAH10S001,"Building A at 2737 Couchville Pike is an existing storage warehouse with multiple tenant  warehouse areas separated by demising walls. The SOW is limited to updating the  storage configuration of the East-most tenants warehouse section of the building. This will  include the installation of new storage racks up to 21'-0''. The new configuration will  include high piled rack storage of PVC plastic window products. Building structure and  architecture is not to be altered as part of this scope of work. The SOW includes the  development of updated Life Safety Plans and High Piled Storage Plans for the new  storage configuration within the warehouse.  POC LUKE SELEDEE, 913-742-5404.",13,-86.63624521,36.11217129,220,37217,-9644302.701,4316066.966,Building Commercial Rehab
T2021063235,Building Commercial - Tenant Finish Out,Restaurant (Fast Food),10/1/2021 5:00,156210,5570 OLD HICKORY BLVD 105,HERMITAGE,TN,LOT 1-D RESUB LOT 1-A NORTHLAKE VILLAGE,ODOM PERMIT,CACT,CAF30A203,"Commercial PUD, SCR zoning.  Tenant Build-out of existing 2,540sf space in Suite 105 for BURGER FI restaurant. Shell building permit is 2020061833. Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.   POC ODOM PERMIT",12,-86.6050303,36.18025668,225,37076,-9640827.873,4325452.844,Building Commercial Tenant Finish Out
T2021063505,Building Commercial - Rehab,Restaurant (Full Service),10/4/2021 5:00,0,2511 WEST END AVE,NASHVILLE,TN,LOT 1 VANDERBILT UNIVERSITY CONSOLIDATION PLAT RESUB LT 2,MITCH RUSCH,CACR,CAF19A203,"interior demo only for mcallisters deli. Pursuant # 2006-1263  Metro Code of Laws, I (holder OF permit)   hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code.     POC MITCH RUSCH",18,-86.80883561,36.14619187,234,37203,-9663515.377,4320755.838,Building Commercial Rehab
T2021063527,Building Commercial - Rehab,"Personal Care Svcs,  Fitness Studio",10/4/2021 5:00,0,3314 WEST END AVE 201,NASHVILLE,TN,UNIT 201 WEST END PARK 1ST AMEND,LENNY BUNDY,CACR,CAF18B011,demise existing vacant space to use as fitness center for residence only  POC LENNY BUNDY,24,-86.81930394,36.14050047,236,37203,-9664680.706,4319971.282,Building Commercial Rehab
